a,b,c,d,r1,r2,

416.992, 482.467, 121.0, 30950.278089, -0.368, -0.789,
780.317, 729.903, 83.0, 273693.14540900005, -0.132, -0.803,
822.276, 370.482, 12.0, 97787.66432400004, -0.035, -0.415,
949.787, 971.767, 115.0, 507429.08228900004, -0.137, -0.887,
96.611, 959.084, 105.0, 879265.4990559999, -0.111, -9.817,
847.599, 531.089, 9.0, 251541.96192100004, -0.017, -0.609,
210.507, 925.583, 989.0, 23938.197888999945, -1.831, -2.566,
635.524, 729.779, 95.0, 291078.26884100004, -0.15, -0.999,
14.85, 556.37, 523.0, 278481.3769, -0.965, -36.501,
221.347, 898.238, 290.0, 550068.9846440001, -0.354, -3.704,
132.899, 970.184, 40.0, 919993.1538559999, -0.041, -7.259,
207.663, 984.209, 53.0, 924642.799681, -0.054, -4.685,
119.012, 214.157, 96.0, 162.61264900000242, -0.846, -0.953,
105.21, 777.604, 259.0, 495670.420816, -0.35, -7.041,
19.737, 817.777, 325.0, 643101.1217290001, -0.401, -41.032,
365.039, 638.803, 129.0, 219709.148809, -0.233, -1.517,
14.025, 226.673, 313.0, 33821.348929, -1.525, -14.637,
290.004, 538.339, 218.0, 36925.39092100004, -0.597, -1.259,
116.588, 543.245, 3.0, 293716.07402500004, -0.006, -4.654,
137.77, 708.607, 106.0, 443709.40044899995, -0.154, -4.989,
778.367, 760.692, 113.0, 226830.43486400007, -0.183, -0.795,
499.137, 859.32, 158.0, 422976.2784000001, -0.209, -1.512,
627.677, 642.89, 83.0, 204918.78809999998, -0.152, -0.873,
686.29, 680.454, 107.0, 169285.52611599996, -0.196, -0.796,
413.815, 754.633, 257.0, 144069.14468900004, -0.453, -1.37,
30.463, 768.719, 371.0, 545721.8089610001, -0.492, -24.742,
23.132, 656.384, 815.0, 355429.635456, -1.301, -27.074,
78.082, 998.173, 458.0, 853303.113929, -0.477, -12.307,
477.508, 637.919, 70.0, 273238.410561, -0.121, -1.215,
12.866, 405.32, 521.0, 137471.55839999998, -1.343, -30.161,
321.846, 852.401, 387.0, 228369.85680099996, -0.582, -2.067,
65.863, 916.458, 949.0, 589879.3177639999, -1.127, -12.788,
200.656, 998.38, 338.0, 725475.7124, -0.365, -4.61,
132.301, 567.684, 369.0, 126988.84785599998, -0.799, -3.492,
855.759, 479.803, 14.0, 182288.41480899998, -0.031, -0.53,
7.802, 971.223, 184.0, 937531.843729, -0.19, -124.294,
218.109, 823.148, 13.0, 666230.9619040001, -0.016, -3.758,
176.033, 845.983, 168.0, 597393.0602889999, -0.208, -4.598,
551.242, 991.144, 302.0, 316466.09273599996, -0.389, -1.409,
350.077, 962.058, 408.0, 354229.93136399996, -0.524, -2.224,
88.42, 711.519, 960.0, 166726.48736100004, -1.715, -6.333,
223.89, 975.537, 897.0, 148355.11836900015, -1.318, -3.039,
34.32, 595.499, 875.0, 234499.05900100002, -1.621, -15.731,
155.399, 467.815, 109.0, 151096.910225, -0.255, -2.756,
675.68, 808.909, 236.0, 16491.85028100002, -0.504, -0.694,
2.036, 297.119, 523.0, 84020.38816100001, -1.782, -144.151,
179.623, 870.981, 398.0, 472648.08636099997, -0.511, -4.338,
